Date_Time,PM10 (µg/m³),WS (m/s),WD,Temp (°C),RH (%),BP (mBar),PM2.5 (µg/m³)
2020-02-19 13:00:00,96.6,1.3,13.6,31.4,41.1,1015.9,43.9
2020-02-19 14:00:00,86.7,1.3,12.3,32.3,39.5,1014.5,43.8
2020-02-19 15:00:00,83.2,1.0,10.5,33.0,38.3,1013.2,45.8
2020-02-19 16:00:00,89.6,0.9,10.4,33.6,37.5,1012.5,50.5
2020-02-19 17:00:00,93.8,0.8,11.7,33.5,37.9,1012.2,59.2
2020-02-19 18:00:00,101.5,0.8,10.5,33.0,38.2,1012.3,52.9
2020-02-19 19:00:00,102.0,0.2,310.0,30.0,54.3,1012.9,58.6
2020-02-19 20:00:00,106.7,0.2,275.9,29.6,54.9,1013.3,56.5
2020-02-19 21:00:00,108.9,0.4,334.7,29.2,55.2,1014.1,69.5
2020-02-19 22:00:00,122.2,0.5,337.8,28.8,53.2,1014.7,76.3
2020-02-19 23:00:00,123.0,0.1,306.9,28.8,53.7,1015.1,76.3
2020-02-20 00:00:00,123.0,0.1,306.1,28.4,60.4,1015.2,71.4
2020-02-20 01:00:00,120.6,0.1,338.8,27.8,72.2,1014.8,65.9
2020-02-20 02:00:00,123.0,0.1,325.2,27.5,76.6,1014.3,56.7
2020-02-20 03:00:00,90.2,0.0,317.7,26.8,79.6,1013.9,68.0
2020-02-20 04:00:00,100.1,0.0,17.1,26.6,82.2,1013.6,76.3
2020-02-20 05:00:00,112.3,0.0,268.1,26.2,83.8,1013.5,72.1
2020-02-20 06:00:00,120.5,0.1,312.7,25.6,84.4,1013.8,76.3
2020-02-20 07:00:00,123.0,0.2,304.6,25.1,85.4,1014.6,76.3
2020-02-20 08:00:00,123.0,0.1,112.6,26.5,65.1,1015.7,69.2
2020-02-20 09:00:00,123.0,0.6,29.8,28.5,53.9,1016.6,66.6
2020-02-20 10:00:00,119.2,0.6,13.3,30.1,47.4,1017.3,53.9
2020-02-20 11:00:00,107.7,0.7,7.1,30.9,45.3,1017.4,46.3
2020-02-20 12:00:00,95.7,1.0,18.4,31.9,40.2,1016.5,47.3
2020-02-20 13:00:00,92.2,0.9,15.9,33.1,37.7,1015.3,55.0
2020-02-20 14:00:00,120.2,1.1,21.9,33.7,35.3,1014.1,56.4
2020-02-20 15:00:00,123.0,1.0,14.9,34.5,35.21536,1012.9,56.2
2020-02-20 16:00:00,104.3,1.2,20.8,34.9,35.21536,1012.0,50.2
2020-02-20 17:00:00,100.2,1.1,20.5,34.7,35.21536,1011.7,54.8
2020-02-20 18:00:00,123.0,0.8,21.9,34.0,35.21536,1011.8,62.8
2020-02-20 19:00:00,123.0,0.5,32.1,32.9,35.21536,1012.2,60.8
2020-02-20 20:00:00,112.3,0.1,339.8,31.5,39.2,1013.0,65.1
2020-02-20 21:00:00,115.7,0.2,321.1,30.5,42.6,1014.1,73.1
2020-02-20 22:00:00,123.0,0.5,29.8,30.8,41.0,1014.9,68.3
2020-02-20 23:00:00,123.0,0.1,8.2,30.0,41.2,1015.4,70.3
2020-02-21 00:00:00,116.4,0.1,265.0,29.0,44.2,1015.6,76.3
2020-02-21 01:00:00,123.0,0.0,218.2,28.4,46.1,1015.2,59.7
2020-02-21 02:00:00,93.0,0.3,17.5,28.2,45.7,1014.8,49.3
2020-02-21 03:00:00,85.3,0.4,26.7,27.6,47.0,1014.4,49.1
2020-02-21 04:00:00,77.5,0.8,29.6,27.2,47.9,1014.3,45.7
2020-02-21 05:00:00,76.1,0.1,17.2,26.5,49.9,1014.4,47.8
2020-02-21 06:00:00,81.7,0.2,28.3,26.3,50.2,1014.9,58.1
2020-02-21 07:00:00,89.5,0.2,29.0,25.9,52.4,1015.8,55.7
2020-02-21 08:00:00,107.0,0.2,278.9,25.9,53.2,1017.4,54.1
2020-02-21 09:00:00,100.5,1.1,25.5,27.3,48.5,1018.3,45.6
2020-02-21 10:00:00,86.8,1.0,19.2,28.6,46.1,1019.2,49.3
2020-02-21 11:00:00,116.1,0.8,2.4,29.9,43.2,1019.5,53.3
2020-02-21 12:00:00,111.4,1.2,19.6,31.2,39.9,1018.8,46.6
2020-02-21 13:00:00,92.2,1.1,17.5,32.2,37.5,1017.7,44.4
2020-02-21 14:00:00,80.7,0.6,3.4,33.5,35.21536,1016.4,52.3
2020-02-21 15:00:00,89.4,1.0,19.9,33.9,35.21536,1015.2,40.7
2020-02-21 16:00:00,78.7,1.4,15.2,34.0,35.21536,1014.4,43.6
2020-02-21 17:00:00,73.3,1.4,21.5,33.8,35.21536,1014.2,49.6
2020-02-21 18:00:00,76.8,0.9,10.2,33.3,35.21536,1014.4,46.5
2020-02-21 19:00:00,74.2,0.6,24.3,32.3,35.7,1014.8,48.8
2020-02-21 20:00:00,88.1,0.3,307.8,30.3,42.7,1015.6,63.4
2020-02-21 21:00:00,115.3,0.3,311.1,30.0,42.2,1016.6,72.1
2020-02-21 22:00:00,123.0,0.4,345.0,30.2,40.3,1017.3,47.4
2020-02-21 23:00:00,99.8,0.5,3.1,30.3,39.0,1017.5,55.3
2020-02-22 00:00:00,102.7,0.7,22.8,29.9,38.2,1017.4,45.7
2020-02-22 01:00:00,82.3,0.8,10.1,29.4,38.8,1016.9,39.1
2020-02-22 02:00:00,80.0,0.6,355.5,28.7,37.7,1016.1,55.6
2020-02-22 03:00:00,96.0,0.8,6.0,28.3,39.1,1016.0,56.4
2020-02-22 04:00:00,93.2,0.8,19.2,27.8,41.6,1015.8,57.5
2020-02-22 05:00:00,100.5,0.7,25.4,26.8,45.5,1015.7,58.3
2020-02-22 06:00:00,94.4,0.5,19.4,26.1,48.7,1016.3,55.8
2020-02-22 07:00:00,95.9,0.9,24.6,26.0,49.9,1017.1,34.4
2020-02-22 08:00:00,79.1,1.4,32.8,26.3,49.1,1017.7,29.8
2020-02-22 09:00:00,76.1,1.4,32.2,26.8,48.6,1018.3,28.4
2020-02-22 10:00:00,70.4,1.4,29.0,27.9,46.9,1018.8,30.0
2020-02-22 11:00:00,83.1,1.4,27.3,29.3,45.0,1018.9,37.7
2020-02-22 12:00:00,95.3,1.4,24.5,30.6,43.0,1018.0,51.8
2020-02-22 13:00:00,96.0,1.4,21.8,31.6,41.2,1017.0,55.2
2020-02-22 14:00:00,101.7,1.4,26.5,32.9,38.5,1015.8,53.8
2020-02-22 15:00:00,105.8,1.4,23.4,33.4,36.0,1014.7,47.1
2020-02-22 16:00:00,87.2,1.1,14.9,33.9,35.21536,1014.0,44.5
2020-02-22 17:00:00,80.3,1.3,24.7,33.7,35.21536,1013.6,48.4
2020-02-22 18:00:00,86.6,0.6,19.2,33.3,35.21536,1013.8,50.5
2020-02-22 19:00:00,90.8,0.5,25.1,32.4,36.6,1014.3,55.9
2020-02-22 20:00:00,92.9,0.3,318.5,30.6,42.3,1015.0,55.1
2020-02-22 21:00:00,103.4,0.2,357.8,30.4,42.6,1015.8,64.7
2020-02-22 22:00:00,120.0,0.0,224.9,30.0,43.4,1016.4,76.3
2020-02-22 23:00:00,123.0,0.1,169.3,29.3,55.0,1016.7,76.3
2020-02-23 00:00:00,123.0,0.2,306.5,27.6,71.6,1016.6,66.5
2020-02-23 01:00:00,105.7,0.2,314.9,26.8,65.7,1016.3,76.3
2020-02-23 02:00:00,120.0,0.3,323.9,27.0,54.2,1015.7,58.7
2020-02-23 03:00:00,102.2,0.1,15.0,27.3,48.2,1015.3,45.4
2020-02-23 04:00:00,86.8,0.3,31.0,26.5,51.0,1015.3,52.1
2020-02-23 05:00:00,99.2,0.5,33.8,26.0,54.4,1015.2,42.7
2020-02-23 06:00:00,79.0,0.4,8.4,25.8,56.3,1015.6,31.1
2020-02-23 07:00:00,58.2,0.1,313.7,25.6,56.2,1016.4,33.6
2020-02-23 08:00:00,68.3,1.2,24.3,26.0,53.7,1017.3,30.8
2020-02-23 09:00:00,67.1,1.2,28.9,26.6,51.5,1018.0,25.4
2020-02-23 10:00:00,59.5,1.4,24.0,28.0,49.0,1018.9,29.2
2020-02-23 11:00:00,70.3,1.0,19.4,29.5,45.5,1019.0,43.4
2020-02-23 12:00:00,88.9,1.2,17.5,30.7,42.2,1018.3,53.9
2020-02-23 13:00:00,92.8,1.4,14.9,31.6,39.0,1017.0,47.3
2020-02-23 14:00:00,92.1,1.4,17.9,32.8,36.1,1015.5,46.5
2020-02-23 15:00:00,91.1,1.4,0.3,33.4,35.21536,1014.1,41.2
2020-02-23 16:00:00,80.6,1.2,6.7,33.8,35.21536,1013.1,41.8
2020-02-23 17:00:00,75.3,0.9,19.4,33.9,35.21536,1012.6,40.6
2020-02-23 18:00:00,76.9,1.0,24.0,33.3,35.21536,1012.6,46.1
2020-02-23 19:00:00,87.4,0.8,16.9,32.3,37.5,1012.8,51.5
2020-02-23 20:00:00,93.7,0.3,329.3,30.3,44.5,1013.3,59.6
2020-02-23 21:00:00,101.6,0.4,331.1,29.6,47.1,1014.0,69.5
2020-02-23 22:00:00,119.9,0.3,327.1,29.1,48.8,1014.6,60.2
2020-02-23 23:00:00,110.6,0.1,288.5,28.9,50.1,1014.9,60.1
2020-02-24 00:00:00,116.6,0.1,274.5,28.6,51.4,1015.0,76.0
