Date_Time,PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD,Temp (°C),RH (%),BP (mBar)
13/11/2568 22:00,41.7,17.3,0.2,55.0,25.0,90.0,1012.9
13/11/2568 23:00,42.0,19.3,0.2,91.6,25.2,90.0,1013.2
14/11/2568 00:00,43.9,18.4,0.1,81.3,25.3,90.0,1013.2
14/11/2568 01:00,49.6,10.8,0.3,343.6,25.5,90.0,1012.8
14/11/2568 02:00,37.9,3.4,0.2,84.7,25.0,90.0,1012.0
14/11/2568 03:00,21.1,11.1,0.2,143.6,24.6,90.0,1011.5
14/11/2568 04:00,32.1,6.8,0.1,79.6,24.6,90.0,1011.4
14/11/2568 05:00,30.2,7.0,0.1,75.7,24.5,90.0,1011.4
14/11/2568 06:00,38.4,13.2,0.1,57.3,24.9,89.9,1011.7
14/11/2568 07:00,49.3,19.1,0.2,102.8,25.1,88.0,1012.5
14/11/2568 08:00,52.8,17.8,0.2,126.9,26.2,80.7,1013.5
14/11/2568 09:00,61.4,24.4,0.4,167.9,27.5,73.8,1014.3
14/11/2568 10:00,53.6,20.3,0.2,122.6,28.9,67.8,1014.6
14/11/2568 11:00,55.8,13.6,0.3,108.4,30.3,60.2,1014.3
14/11/2568 12:00,46.7,11.3,0.3,120.0,31.2,49.5,1013.3
14/11/2568 13:00,42.3,13.9,0.7,162.3,32.2,42.1,1012.3
14/11/2568 14:00,39.2,12.8,0.6,149.4,33.0,39.1,1011.2
14/11/2568 15:00,37.1,12.1,0.4,138.8,33.4,37.2,1010.5
14/11/2568 16:00,37.9,13.1,0.4,152.1,32.5,38.5,1010.2
14/11/2568 17:00,41.7,11.6,0.3,163.3,31.7,38.8,1010.6
14/11/2568 18:00,44.8,16.2,0.1,91.0,30.9,40.5,1011.3
14/11/2568 19:00,45.0,17.1,0.2,188.3,29.9,41.6,1012.0
14/11/2568 20:00,45.0,19.6,0.6,191.9,29.4,42.9,1012.9
14/11/2568 21:00,52.5,20.3,0.7,192.9,29.1,43.0,1013.7
14/11/2568 22:00,53.0,21.0,0.6,190.4,28.4,43.5,1014.2
14/11/2568 23:00,56.7,19.6,0.6,188.4,27.7,46.3,1014.4
15/11/2568 00:00,57.0,19.0,0.5,187.0,27.0,48.8,1014.2
15/11/2568 01:00,50.5,22.0,0.2,176.5,26.5,50.8,1013.5
